,Cnsmr,Manuf,HiTec,Hlth ,Other
200409,   2.97,   5.65,   4.25,   4.22,   3.62
200410,   1.84,   0.91,   3.48,  -1.17,   2.39
200411,   8.78,  10.63,   9.95,   8.20,   6.91
200412,   5.67,   3.94,   8.76,   7.64,   4.64
200501,  -2.06,  -1.40,  -7.53,  -4.13,  -2.16
200502,   1.00,   5.51,  -0.18,  -2.04,   0.84
200503,  -1.07,  -0.89,  -4.50,  -7.30,  -2.22
200504,  -5.56,  -6.51,  -8.11,  -3.49,  -4.43
200505,   5.65,   4.42,   6.38,   4.96,   3.87
200506,   4.17,   4.88,   2.14,   3.30,   2.96
200507,   6.07,   8.24,   6.84,   8.74,   4.81
200508,  -3.27,   0.82,  -1.06,  -0.93,  -1.12
200509,  -2.10,   2.91,   1.09,   0.31,   0.56
200510,  -3.19,  -5.77,  -3.41,  -4.63,  -1.09
200511,   3.79,   3.25,   4.80,   2.31,   3.47
200512,   0.18,   2.10,   1.14,   0.07,   0.60
200601,   6.45,  11.71,   8.71,  11.31,   4.75
200602,   1.20,  -1.89,   0.90,   2.20,   0.57
200603,   4.15,   5.06,   5.34,   2.72,   3.44
200604,   1.21,   3.88,   0.23,  -3.82,   0.65
200605,  -3.88,  -4.91,  -7.66,  -7.48,  -2.16
200606,  -0.61,   0.12,  -2.82,  -2.08,   0.41
200607,  -3.82,  -2.23,  -5.13,  -4.69,  -2.34
200608,   1.15,   0.60,   4.23,   3.65,   1.25
200609,   3.45,  -2.00,   1.34,  -0.45,   1.61
200610,   5.54,   6.14,   4.39,   6.52,   3.81
200611,   1.36,   4.52,   2.46,   2.68,   2.48
200612,   1.98,  -0.40,   1.44,   1.40,   1.83
200701,   3.27,   1.58,   2.77,   4.59,   1.23
200702,   0.40,   1.55,   0.44,   0.12,  -0.85
200703,   1.14,   2.12,   0.46,  -0.04,  -0.95
200704,   1.96,   4.46,   2.36,   5.07,   0.53
200705,   2.20,   4.08,   2.75,  -0.22,   2.43
200706,  -0.68,   0.59,   1.27,  -3.71,  -1.60
200707,  -5.90,  -3.84,  -3.30,  -5.05,  -6.63
200708,  -2.28,  -1.73,  -1.76,   0.08,  -0.17
200709,  -0.46,   3.12,   2.74,   3.07,   0.44
200710,  -0.34,   2.77,   2.85,   2.60,  -1.17
200711,  -9.07,  -7.64,  -9.97,  -8.24,  -7.27
200712,  -2.83,   1.78,  -0.33,  -2.68,  -2.90
200801,  -4.54,  -6.95,  -9.92,  -5.25,  -1.04
200802,  -3.95,   1.02,  -3.46,  -1.66,  -4.39
200803,  -1.53,  -1.80,  -2.90,  -5.62,  -2.19
200804,   2.14,   6.06,   2.91,   2.21,   0.04
200805,   2.28,   8.71,   5.24,   3.45,  -0.25
200806, -11.92,  -3.82,  -8.79,  -6.93, -12.87
200807,   0.90,  -4.04,  -1.17,   6.49,   2.61
200808,   3.96,   1.13,   2.06,  -0.05,   3.23
200809,  -8.97, -16.63, -14.56, -12.99,  -5.94
200810, -24.40, -25.05, -22.93, -18.83, -17.50
200811, -17.67, -14.42, -14.24, -13.86, -12.06
200812,   5.16,  -0.57,   3.53,   7.05,   1.92
200901,  -5.89,  -5.55,  -0.08,   6.07,  -8.91
200902,  -9.57, -16.57,  -8.71, -11.71, -11.74
200903,  15.82,   8.77,  12.51,  13.25,  12.49
200904,  33.34,  23.90,  20.90,  13.99,  17.66
200905,   8.37,  11.56,   8.74,  18.33,   6.59
200906,   3.46,   0.16,   7.05,  10.78,   0.31
200907,  12.67,  10.16,   8.49,   9.13,   5.97
200908,   7.59,   6.11,   7.74,   5.85,   5.80
200909,   6.38,  10.40,  10.84,   8.46,   2.45
200910,  -3.64,  -5.24,  -6.23, -10.61,  -7.09
200911,   1.93,   3.64,   2.99,   3.22,  -0.42
200912,   6.52,   8.22,   8.78,   7.97,   3.61
201001,  -0.77,  -2.56,  -3.16,   0.07,   2.05
201002,   5.76,   4.35,   5.02,   1.97,   2.46
201003,  10.01,   6.92,   8.46,   8.30,   7.14
201004,   7.31,   8.10,   5.91,   7.05,   9.22
201005,  -7.37,  -9.31,  -7.01,  -9.05,  -8.24
201006,  -9.17,  -6.79,  -6.19,  -7.66,  -8.77
201007,   6.37,   7.93,   6.64,   2.92,   4.35
201008,  -7.87,  -6.51,  -6.15,  -5.58,  -7.45
201009,  12.40,  10.95,  13.71,  11.33,   8.05
201010,   3.89,   6.16,   6.01,   2.67,   2.64
201011,   3.77,   4.69,   1.66,   0.11,   1.22
201012,   5.77,   8.93,   8.07,  10.94,   9.01
201101,  -0.57,   3.19,   3.20,   1.30,   1.77
201102,   4.12,   5.46,   5.48,   3.53,   2.83
201103,   1.16,   3.19,   0.85,   2.81,  -0.55
201104,   2.30,   0.45,   1.38,   5.09,   0.35
201105,  -1.09,  -3.49,  -1.86,  -0.15,  -2.67
201106,  -1.54,  -2.66,  -2.90,  -4.19,  -2.15
201107,  -1.89,  -0.97,  -4.80,  -3.25,  -1.88
201108,  -8.91,  -9.90, -10.04, -11.35,  -8.23
201109,  -9.31, -14.40, -11.09,  -9.42,  -9.88
201110,  12.25,  16.38,  11.85,   9.92,  10.65
201111,  -2.52,   0.07,  -3.51,  -2.80,  -0.99
201112,   0.64,  -1.12,  -0.84,  -0.81,   1.09
201201,   7.45,   8.42,  10.05,  11.75,   8.79
201202,   5.18,   3.64,   3.94,   4.10,   3.66
201203,   3.74,  -0.22,   2.61,   4.41,   4.89
201204,  -0.54,  -1.40,  -2.95,  -1.50,  -0.66
201205,  -5.47, -10.80,  -8.31,  -5.64,  -5.25
201206,   2.01,   3.08,   3.74,   7.42,   3.68
201207,  -0.94,  -0.83,  -2.02,   0.97,  -1.42
201208,   3.08,   2.07,   3.35,   2.26,   2.54
201209,   3.27,   3.50,   2.84,   6.37,   3.97
201210,  -1.13,  -1.39,  -4.60,  -5.14,   0.27
201211,   1.97,   0.38,  -0.25,   0.82,  -0.35
201212,   1.87,   2.89,   2.99,  -0.88,   3.46
201301,   6.68,   7.09,   6.77,   9.15,   7.53
201302,   0.97,   0.37,   0.98,  -0.19,   2.12
201303,   5.48,   3.21,   4.21,   5.29,   4.34
201304,   1.48,  -1.14,   0.11,   1.09,  -0.81
201305,   5.44,   4.04,   5.66,   4.51,   4.50
201306,   0.39,  -1.76,   1.09,  -1.29,   0.25
201307,   6.08,   6.90,   8.03,  10.79,   6.84
201308,  -3.06,  -1.55,  -1.43,  -1.73,  -2.42
201309,   5.53,   5.78,   6.27,   9.23,   4.22
201310,   3.09,   4.60,   2.36,  -1.86,   2.83
201311,   3.33,   2.13,   4.43,   8.37,   4.17
201312,   1.77,   3.19,   3.91,   4.08,   1.99
201401,  -4.23,  -1.56,   1.36,   9.17,  -1.54
201402,   4.83,   5.33,   4.44,   6.01,   3.62
201403,   1.27,   1.58,  -1.32,  -4.02,   0.94
201404,  -3.15,  -0.43,  -6.38,  -7.79,  -2.73
201405,   0.11,  -0.54,   0.20,   0.97,   0.14
201406,   2.28,   4.97,   5.34,   7.33,   3.56
201407,  -4.49,  -5.84,  -5.00,  -6.92,  -3.41
201408,   5.78,   4.18,   3.41,   4.82,   3.27
201409,  -4.13,  -8.08,  -4.45,  -4.84,  -3.39
201410,   3.76,  -0.72,   1.92,   5.04,   4.06
201411,   2.11,  -5.43,   1.48,   0.61,   0.41
201412,   1.51,  -1.83,   1.82,   5.22,   2.89
201501,  -2.72,  -5.64,  -3.27,   2.65,  -5.03
201502,   4.79,   7.69,   7.30,   9.07,   4.99
201503,   1.34,  -2.32,  -1.20,   1.13,   1.12
201504,  -1.60,   4.25,   1.26,  -4.00,  -0.12
201505,   0.15,  -2.49,   2.06,   5.28,   0.44
201506,  -0.18,  -3.73,  -1.17,   2.42,   1.28
201507,  -1.80,  -8.55,  -3.64,  -0.37,  -1.32
201508,  -4.57,  -2.31,  -5.61,  -7.22,  -4.06
201509,  -5.33,  -9.51,  -3.20, -11.56,  -2.57
201510,   4.39,   7.58,   5.88,   2.96,   4.81
201511,  -0.42,  -1.19,   2.42,   7.66,   2.25
201512,  -3.52,  -7.31,  -3.69,  -5.69,  -4.02
201601,  -6.55,  -8.09,  -8.45, -18.63,  -7.65
201602,   3.39,  -0.15,   1.00,  -3.03,   0.33
201603,   6.97,  13.20,   6.47,   7.69,   7.43
201604,   0.64,   8.38,   1.32,   5.19,   3.42
201605,  -2.27,  -1.86,   3.36,   1.25,   1.00
201606,   0.98,   1.39,   1.62,  -4.36,  -1.21
201607,   6.35,   4.44,   6.70,   6.09,   5.17
201608,   1.65,   2.68,   2.53,   0.87,   2.86
201609,  -0.71,   1.69,   1.95,   8.09,   0.86
201610,  -4.21,  -4.60,  -5.07, -13.65,  -2.14
201611,   8.29,  11.80,   5.05,   5.35,  12.93
201612,   1.81,   1.56,   0.79,  -2.59,   5.44
201701,  -2.35,   2.09,   3.58,   4.78,   0.79
201702,  -0.13,  -0.52,   2.14,   6.22,   1.53
201703,   0.70,  -0.40,   1.64,   2.08,  -0.51
201704,   1.57,  -0.83,   2.33,  -3.09,   0.49
201705,  -2.35,  -2.57,   1.49,  -5.02,  -2.66
201706,   1.03,   0.76,   1.21,  10.29,   4.51
201707,  -1.88,   0.86,   1.49,  -2.70,   0.31
201708,  -3.52,  -3.70,  -0.81,   1.12,  -1.84
201709,   6.50,   8.79,   5.67,   8.37,   6.87
201710,  -1.93,   0.58,   1.42,  -2.38,   0.86
201711,   6.47,   3.41,   1.90,   2.49,   3.36
201712,   2.90,   2.26,   1.18,   0.99,  -0.11
